English,汉语,Pinyin
to go,去,qu4
to have meal,吃饭,chi1 fan4
restaurant,饭馆,fan4guanr3
nearby,附近,fu4jin4
how,怎么,zen3me0
to take a taxi,打车,da3 che1
proper address for taxi driver,师傅,shi1fu0
driver,司机,si1ji1
to arrive,到,dao4
particle,了,le0
to stop,停,ting2
to turn left,左拐,zuo3 guai3
to keep going,一直,yi4zhi2
to go,走,zou3
there,那儿,nar4
how many/how much,多少,duo1shao0
money,钱,qian2
denomination of Chinese currency,块,kuai4
receipt,发票,fa1piao4
good-by,再见,zai4jian4
sorry,对不起,dui4bu0qi3
to turn right,右拐,you4 guai3
U-turn,掉头,diao4 tou2
Starbucks,星巴克,Xing1ba1ke4
McDonalds',麦当劳,Mai4dan1glao2
Carrefour,家乐福,Jia1le4fu2
airport,机场,ji1chang3
here,这儿,zher4
by subway,坐地铁,zuo4 di4tie3
by airplane,坐飞机,zuo4 fei1ji1
on foot,走路,zou3 lu4
traffic lights,红绿灯,hong2lü4deng1
may I ask,请问,qing3 wen4
